record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,cihaz_kullanm_gnl_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,cihaz_kullanm_gnl_complete
IZTECH_S012,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTECH_S012,cihaz_kullanm_gnl,2,,,,,1,,,,,,,,,,5,,,,,,,,,,,27A397D0-1EB2-11F0-8B55-B9C9E5594E42,"2025-04-21 16:11:36","2025-04-21 16:11:52",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-21 16:11:53"",    ""utcTime"": ""2025-04-21 13:11:36.653344Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""10""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,3,,,,,1,,,,,,,,,,0,1,"2025-04-22 00:45",,,,,,0,"yatağımın yanı",0,C3124A90-1F61-11F0-BE19-F39B1AFC160E,"2025-04-22 13:08:39","2025-04-22 13:10:20",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-22 13:24:09.165483"",    ""utcTime"": ""2025-04-22 10:08:39.353804Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,4,,,,,1,,,,,,,,,,1,1,,"2025-04-22 11:45",,,,,,,,F078B030-1F63-11F0-BE19-F39B1AFC160E,"2025-04-22 13:24:14","2025-04-22 13:24:51",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-22 13:24:52"",    ""utcTime"": ""2025-04-22 10:24:14.514999Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""20""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,5,,,,,0,2,"2025-04-23 00:08",,,"2025-04-23 00:09",,,,,,,,,,,,,,,,DEB9E490-1FBD-11F0-AE92-B708380768D9,"2025-04-23 00:07:59","2025-04-23 00:09:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 00:09:13"",    ""utcTime"": ""2025-04-22 21:07:59.449496Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""20""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,6,,,,,0,1,,,"2025-04-23 07:40",,,,,,,,,,,,,,,,,6341DB60-1FFE-11F0-9A6E-1958FDC001F5,"2025-04-23 07:49:49","2025-04-23 07:50:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 07:50:12"",    ""utcTime"": ""2025-04-23 04:49:49.590437Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,7,,,,,0,0,"2025-04-23 21:27",4,,,,0,"Koltuğun yanı",0,,,,,,,,,,,,8DE7F3A0-2070-11F0-A88C-8B4937D66762,"2025-04-23 21:27:03","2025-04-23 21:27:48",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 21:27:49"",    ""utcTime"": ""2025-04-23 18:27:03.770628Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,8,,,,,0,1,,,"2025-04-23 21:45",,,,,,,,,,,,,,,,,23921730-2073-11F0-A88C-8B4937D66762,"2025-04-23 21:45:33","2025-04-23 21:45:45",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 21:45:46"",    ""utcTime"": ""2025-04-23 18:45:33.859258Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,9,,,,,0,2,"2025-04-24 01:03",,,"2025-04-24 01:04",,,,,,,,,,,,,,,,CE9C9AE0-208E-11F0-A128-8B361473BF5B,"2025-04-24 01:03:37","2025-04-24 01:04:31",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-24 01:04:32"",    ""utcTime"": ""2025-04-23 22:03:37.230210Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""20""  }",result.zip,2
IZTECH_S012,cihaz_kullanm_gnl,10,,,,,0,1,,,"2025-04-24 10:39",,,,,,,,,,,,,,,,,38F12910-20DF-11F0-8D2D-D37AA25066C4,"2025-04-24 10:39:15","2025-04-24 10:39:32",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-24 10:39:32"",    ""utcTime"": ""2025-04-24 07:39:15.361543Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""9"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,2
